labelId,labelName,status,websiteUrl,producer,hasSpecialization,hasCountry
53315,heretical music,active,nan,[3540396490],[],3
53317,landshark records,active,nan,[3540472017],[],1
53318,mroh records,active,nan,[3540472019],[],14
53325,fuzzy cracklins presents,active,http://fuzzycracklins.com/,[3540477254],"['rock with doom metal', 'black metal with punk', 'stoner metal', 'sludge metal', 'doom metal', 'metal']",1
53335,jazz helmet records,active,nan,[3540469895],[],1
53342,canisanguis records,active,https://canisanguisrecords.bandcamp.com,"[3540408002, 3540494277, 3540472220]","['raw black metal', 'death metal with noise elements']",1
53343,old metal crypt,active,nan,"[3540472169, 3540477422]",[],14
53348,saron production,active,nan,[3540472204],[],38
53351,klip records,active,nan,[3540472233],[],28
53355,neptunian records,active,https://www.facebook.com/neptunian.recs,[3540402657],[],22
53356,still heavy productions,active,https://www.heavyhaven.com/stillheavyproductions,[3540379472],[],
53364,diafol records,active,nan,[3540472330],[],3
53367,cob records,active,https://cob-records.bandcamp.com/,[3540472353],[],1
53368,caverna produções,active,nan,[3540472356],[],23
53373,metal cultist media,active,nan,[3540472483],[],1
53375,valhalla,active,nan,[3540472395],[],23
53379,last ride records,active,https://lastriderecords.bandcamp.com/music,"[3540472453, 3540531424, 3540506516]",[],7
53380,big city nights records,active,nan,[129302],[],5
53384,tboj recordings,active,nan,"[3540472521, 45150, 3540472479]","['rock with doom metal', 'metal', 'electronic metal', 'folk metal']",15
53385,metalose enemy,active,nan,[3540491460],[],26
53386,last gang records,active,nan,[3540472498],[],6
53389,cavalcade records,active,https://cavalcadexrecords.com/,"[3540539006, 3540543189, 3540537391]","['metalcore', 'heavy metal with hardcore punk']",55
53390,northern unrest,active,http://northernunrest.com/,[3540529469],['death metal with hardcore'],3
53393,phantasmagoria records,active,nan,[3540472429],[],6
53394,wtf records,active,https://wtfrecords.eu,[126071],"['death metal with hardcore', 'metalcore']",41
53395,saibot reigns,active,nan,"[3540407788, 3540525548, 3540521802]",['power metal'],1
53396,bentley records,active,nan,[3540472547],[],1
53399,lingering cadaverine records,active,https://lingeringcadaverine.bandcamp.com/,"[3540471716, 3540456828, 3540480409, 3540473136, 3540472434, 3540475375]","['death metal', 'sludge metal', 'black metal with crust', 'death metal with grindcore']",1
53405,arauto da morte records,active,https://www.arautodamorterecords.com.br,[3540496883],[],23
53409,dark inside productions,active,nan,"[3540469554, 3540476484]",['black metal'],38
53417,tapeswarm records,active,nan,[3540472696],[],14
53418,barbaric brutality,active,https://barbaricbrutality.bigcartel.com/,"[3540394468, 3540535908, 3540474799, 3540513678, 3540505753, 3540543105, 3540473412]",['death metal'],1
53434,war march records,active,https://warmarchrecords.com/,"[3691, 3540503675, 3540500702, 3540438773, 3540465262, 94683, 3540530366, 3540261396, 3540357052]","['black metal', 'death metal']",1
53436,saturnia records,active,https://saturniarecords.wordpress.com/,[3540474829],['symphonic metal'],12
53439,erszebet productions,active,nan,[3540470877],['black metal'],2
53450,colectivo bilis,active,nan,[3540486912],[],4
53456,here is nowhere records,active,https://hereisnowhererecords.limitedrun.com/,[3540453036],"['folk metal', 'shoegaze', 'metalcore']",1
53458,arts metal tarija,active,nan,"[3540390123, 3540474511]",[],25
53462,fuzzy mind records,active,nan,[3540472905],[],1
53464,midnight records,active,https://www.facebook.com/midnighthmrecs,[3540272797],[],4
53468,no te molestes records,active,https://www.facebook.com/notemolestesrecords/,[3540472896],"['death metal with hardcore', 'death metal with grindcore']",79
53471,hail satan records,active,https://hailsatanrecords.com/,[3540375853],[],48
53472,kunstlicht,active,nan,[3540552585],[],41
53477,ripcord records,active,nan,[3540521696],['rock with doom metal'],3
53478,kingside records,active,https://www.kingsiderecords.com/,"[3540479807, 3540498907, 3540523280, 3540472773, 3540492941]",[],1
53479,sibling records,active,nan,[3540472937],[],28
53486,rising violence records,active,http://risingviolence.bandcamp.com,"[3540478103, 3540473014, 3540475129]","['heavy metal', 'thrash metal', 'black metal', 'death metal']",1
53487,dominator records,active,nan,[3540550387],[],38
53488,mallevs records,active,http://mallevsrecords.bigcartel.com/,"[3540542570, 3540405584, 3540425732]","['black metal', 'death metal', 'thrash metal']",29
53490,demonomancy records,active,nan,[3540473029],[],53
53492,lavender cacophony contraband,active,nan,"[3540481861, 3540473035]",['raw black metal'],6
53497,choduus,active,nan,"[23263, 3540548584, 3540484168, 111829, 3540379064, 3540345192]","['raw black metal', 'power metal with dark ambient influences']",23
53502,infernal legions prod,active,nan,"[3540490407, 33436]","['heavy metal', 'thrash metal', 'black metal', 'death metal']",20
53504,ct hate records,unknown,nan,[3540473138],[],1
53507,balbúrdia records,active,nan,[3540434707],"['black metal with punk', 'rock with doom metal', 'metal']",23
53519,metal is the law productions,active,http://www.metalisthelaw.org/,[3540469024],['death metal'],29
53526,catábasis records,active,https://catabasisrecords.com/,"[3540473242, 3540485713]","['psychedelic rock', 'heavy metal with hardcore punk', 'crust punk with doom metal influences', 'death metal with grindcore', 'doom metal', 'stoner metal', 'sludge metal', 'black metal']",4
53528,olde magick records,active,https://www.facebook.com/oldemagickrecords/,[3540528757],[],1
53529,backa per productions,active,nan,[3540474746],[],15
53531,antichriconoclast productions,active,nan,[3540543125],[],1
53533,hovel records,active,nan,[3540473292],[],35
53534,stardust records,active,nan,[3540473336],[],12
53535,doomsdy records,active,nan,[3540473334],[],20
53539,x el cambio records,active,https://www.facebook.com/xecmusic/,[3540473360],"['black metal with punk', 'death metal with hardcore']",21
53540,one stall records,active,nan,[3540473365],[],1
53543,skullism records,active,nan,"[3540430532, 3540546902, 3540470702]","['stoner metal', 'doom metal', 'black metal', 'death metal with hardcore', 'black metal with post-punk']",53
53549,lost by design records,active,nan,[3540473427],[],17
53555,buddy building records,active,http://buddybuildingrecords.limitedrun.com/,[3540434177],[],5
53579,church road records,active,https://churchroadrecords.com/,"[3540506882, 3540477841, 3540527870, 36038, 3540488676, 3540498316, 3540474312, 3540431445, 3540442684, 3540477228, 3540478226, 3540473549, 3540479777, 3540427053, 3540360068, 3540458138, 3540436863]",[],3
53586,turricane media,unknown,nan,[3540316828],[],41
53587,metal on metal distribution,changed name,nan,"[3540473587, 3540519731]","['heavy metal', 'power metal']",4
53588,black dharma,active,nan,"[3540484670, 3540492944, 3540474518, 3540474516]",[],28
53591,karnahell records,active,https://www.instagram.com/karnahell/,[3540473488],[],23
53599,liber khaos productions,active,http://www.facebook.com/liberkhaosproductions,"[3540491641, 3540456209]",['extreme metal'],13
53600,joe cool records,active,http://joecoolrecords.com/,[3540473639],[],29
53605,silent future recordings,active,https://silentfuture.se/,"[3540540694, 3540322809, 3540376229]",[],15
53606,etmoplabel,active,nan,[3540473656],[],14
53609,garduss records,active,nan,[3540473673],"['heavy metal with deathcore influences', 'metalcore', 'sludge metal with post-hardcore influences', 'progressive metal', 'rock with doom metal']",152
53611,n pro entertainment,unknown,nan,[3540473684],[],26
53613,dolomia nera,active,nan,"[85731, 94743, 3540454572]",[],12
53616,cannibal distro,active,nan,[3540507496],[],20
53621,molten magma,active,https://moltenmagma.bandcamp.com/,"[3540497006, 3540491343, 3540427143]","['thrash metal', 'crossover metal', 'death metal with hardcore']",1
53624,goat room productions,active,nan,[3540475053],['black metal'],9
53625,rise and fall records,active,nan,[3540473731],[],14
53630,smixx,active,https://www.facebook.com/smixx2020/,"[3540538842, 3540528053, 3540415063, 3540431326, 3540551747, 3540473195, 3540501152, 3540507299]",[],38
53636,guerilla records,unknown,nan,[3540473785],[],26
53637,lucifugo productions,active,nan,[3540412055],[],20
53641,stockers record,active,nan,[3540479413],[],53
53643,gruesome records,active,http://www.gruesomerecords.wordpress.com/,"[3540548391, 3540477707, 3540363427, 3540479471, 3540372138, 3540395603, 3540431632, 3540407113, 3540496941, 3540461624, 3540509588, 3540545262, 3540547859]",['death metal'],18
53645,in shadows enthroned records,closed,nan,[3540474168],[],6
53647,black metal store,active,https://www.blackmetalstore.com,[7736],['black metal'],23
53650,war vellum,active,nan,"[3540530545, 3540485499, 3540512737, 3540502057, 3540430417, 3540525902, 3540485415, 3540476259]","['black metal', 'death metal', 'death metal with noise elements']",6
53658,mcmxci musik,active,http://mcmxci-music.blogspot.com/,"[3540510692, 3540473256, 3540510694, 3540510689]",[],22
53664,hrs records,active,nan,[3540473904],[],26
53665,metalbaker records,active,nan,[3540473908],[],5
53666,utf records,active,nan,[3540473909],[],
53668,no reverse,active,nan,[3540473912],"['heavy metal with stoner rock influences', 'doom metal with grunge elements']",28
53670,metal rocka recordings,active,nan,[3540459453],[],
53671,auditory delusion records,active,https://www.facebook.com/auditorydelusionrecords/,"[3540403215, 3540399852]",[],1
53672,silent watcher records,active,https://silentwatcherrecords.de/,"[3540534095, 3540512981]","['black metal', 'death metal', 'thrash metal']",5
53673,hyper star entertainment,active,nan,[3540473930],"['heavy metal', 'progressive metal']",19
53677,writ in water studios,unknown,nan,[3540473945],[],6
53678,b.g.p. prods,active,nan,[3540473952],[],56
53689,gae records,active,nan,[3540469392],"['black metal', 'gorenoise']",6
53692,banner of blood,active,https://bannerofblood.bigcartel.com/,"[3540466793, 3540474023, 3540487717, 3540458106, 3540513293, 3540452509]",['black metal'],1
53693,rip short'in records,active,nan,[3540474033],[],
53694,orelhinha suja,active,nan,[3540406773],[],23
53697,darker realms records,active,https://darkerrealmsrecords.at/,"[3540504567, 3540441767, 3540472185, 3540468721, 3540482234]","['black metal', 'death metal']",30
53703,holocen records,active,nan,[3540474114],[],10
53704,dns music,active,nan,[3540474115],[],
53708,cykelstyre records,active,nan,[3540474143],[],
53711,wretched records,active,https://m.facebook.com/wretchedrecordsuk,[3540468110],"['death metal', 'metalcore', 'death metal with hardcore']",3
53712,steel shark records,active,https://steelshark.net/,"[3540499988, 3540500502, 3540481921, 3540502588, 3540261059, 3540387852, 3540515433, 3540460170]",['heavy metal'],29
53715,savage mutilations,active,https://savagemutilations.storenvy.com/,[3540474181],[],1
53722,svanrenne music,active,http://www.svanrennemusic.com,"[3540379728, 3540463555, 3540546630, 3540489393, 3540537275]","['black metal', 'death metal', 'black metal with crust', 'sludge metal', 'ambient doom metal']",14
53726,dread mark production,active,https://vk.com/dreadmarkproduction,[3540477391],['death metal'],14
53730,death list update records,active,http://www.death-list.update-records.com/,"[3540474285, 3540474283, 3540474284]",[],5
53731,vile tapes records,active,https://www.viletapes.com/,"[3540508765, 3540529809, 3540490131, 3540481569, 3540341405, 3540491049, 3540521041, 3540511710, 3540527007, 3540481803, 3540488758, 3540394884, 3540526801, 3540455684, 3540262291, 3540511496, 3540347602, 3540456474, 3540538471, 3540442316, 3540518662]","['slam', 'brutal death metal']",14
53733,daimar,unknown,nan,[3540403493],[],
53734,omega records,closed,nan,[21004],[],3
53751,rebel sound records,active,https://www.rebel-sound.com/,[33761],[],1
53752,vermignosis,active,https://www.vermignosis.com/,"[3540473434, 3540447183, 3540469228]","['doom metal', 'death metal', 'black metal']",1
53753,a.x. media recordings,active,https://morktblod.bandcamp.com/,[3540455340],[],1
53765,hard calling records,active,nan,[3540472800],[],29
53766,coolstown mayor,active,nan,[3540469107],[],1
53769,mey productions,active,nan,[3540343868],['ambient doom metal'],41
53772,city of thieves,active,https://cityofthievesrecords.jimdofree.com/,[3540474446],"['death metal', 'death metal with grindcore']",29
53775,cognitive atrocities,active,nan,[3540474456],[],1
53780,frozen screams imprint,active,http://www.frozenscreamsimprint.com,"[3540499794, 3540472916]",['death metal'],1
53781,lucrative degeneracy productions,active,nan,"[3540473796, 3540530876]",[],1
53786,entropy records,active,nan,"[3540509494, 3540487062, 3540319119, 3540494555, 3540477040, 3540400969]","['black metal', 'death metal']",2
53787,noxious ruin,active,https://noxiousruin.bigcartel.com/,[3540533142],['death metal'],1
53798,american decline records,active,https://americandeclinerecords.bandcamp.com/,[3540411424],['extreme metal'],1
53799,american dreams records,active,https://american-dreams.zone/,[3540483305],[],1
53805,total dissonance worship,active,https://totaldissonanceworship.bandcamp.com,"[3540495183, 3540466948, 3540419825, 3540468503, 3540540370, 3540436340, 3540508676, 3540423642, 3540324115, 3540525062, 3540539345, 3540466344, 3540541564, 3540345024, 3540419005]","['death metal', 'black metal', 'extreme metal']",1
53808,esercito della chiesa dorata,active,nan,[3540474620],"['black metal', 'death metal']",12
53809,shamash records,active,https://www.facebook.com/shamash-records-103336978152279/,[3540273862],[],20
53812,electric fire records,active,nan,[3540510599],[],30
53815,guitar one records,active,https://www.guitaronerecords.com/,[95540],[],1
53828,monster tone records,unknown,nan,[3540277591],[],1
53832,le legione projets,active,nan,"[3540410248, 3540505594]",[],56
53853,maxima music pro,active,https://www.maximamusicpro.com/,"[3540508512, 3540490814, 3540408156, 3540391788, 34757, 3540473788, 3540425265, 54704, 3540361563, 3540551076, 3540504713, 3540487769, 3540531259, 3540423303, 3540287668]","['death metal', 'death metal with grindcore']",53
53855,esquimalt hardcore,active,https://www.youtube.com/channel/ucvzeu7ypur7iqknqlee8b3w,[3540474392],[],6
